id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1117375886850401070,Vibrant Oslo - Løkka,68846467,Andreas,,Grünerløkka,59.9229754,10.7720034,Private room,700,1,7,2024-08-25,1.19,1,176,7,
1117381790854957521,Lovely home in Oslo with kitchen,154027833,Novasol,,Stovner,59.952807,10.935389,Entire home/apt,,1,0,,,1,71,0,
1117387891111376693,Idyllisk rekkehus nære marka og sentrum,26162187,Martin,,Nordre Aker,59.95593333728927,10.724815092980862,Entire home/apt,3200,7,0,,,1,213,0,
1117461435320699969,Cozy apartment in city center,145540765,Joar,,Gamle Oslo,59.912910362979794,10.77367569499271,Entire home/apt,1350,3,2,2024-09-15,1.02,1,5,2,
1117485061876292287,Bohemian and cozy apartment.,81264993,Sara,,Grünerløkka,59.9281484426975,10.768932583720071,Entire home/apt,,1,0,,,1,268,0,
1117510009118441769,"Moderne Leilighet Sentralt i Oslo, 14 m2 balkong",179609392,Maren,,Gamle Oslo,59.9024028,10.790431,Entire home/apt,929,3,10,2024-09-24,2.75,1,43,10,
1117513225171617011,Nydelig bolig på Bækkelaget,13736704,Maren,,Nordstrand,59.8890839,10.7787604,Entire home/apt,1800,1,11,2024-09-14,1.86,1,251,11,
1117770825303224542,Park-Road room next to the Castle central Oslo,423596162,Magnus,,Frogner,59.92185909999999,10.7302303,Private room,590,1,39,2024-09-01,6.96,1,210,39,
1117817453541946215,Seaside apt - 2 sunny balconies - Modern - 6 pax,555631816,Hans Fabian,,Gamle Oslo,59.90202149999999,10.7550931,Entire home/apt,1310,1,7,2024-09-22,1.94,4,140,7,
1117861982422016141,Leilighet ved Grünerløkka,65642644,Emilie,,Grünerløkka,59.92110858238622,10.774517963696042,Entire home/apt,1400,4,0,,,1,116,0,
1118150756465263083,"Sentralt, barnevennlig rekkehus",99459477,Tonje,,Østensjø,59.896339588848214,10.82032285630703,Entire home/apt,2000,4,1,2024-08-03,0.53,1,180,1,
1118223305592071799,Sjarmerende og sentral loftsleilighet,3698997,Oda,,Grünerløkka,59.92448967665904,10.771891496295165,Entire home/apt,1364,2,8,2024-09-09,1.64,1,37,8,
1118628731924971528,Apartment in Oslo Oldtown,568501523,Agnete,,Gamle Oslo,59.91038389999999,10.7820434,Entire home/apt,,3,8,2024-08-17,2.26,1,0,8,
1118662170209240536,Moderne leilighet midt i sentrum,565121225,Åse,,St. Hanshaugen,59.91549349404782,10.755676628836074,Entire home/apt,1500,2,10,2024-09-22,1.79,1,122,10,
1118821701009031492,Leilighet Grünerløkka med balkong,568544540,Jonas Islann,,Grünerløkka,59.9259,10.75688,Entire home/apt,1666,2,9,2024-09-22,2.97,1,264,9,
1119435916897741742,Stavanger,108595372,Marta,,Gamle Oslo,59.90286,10.75665,Shared room,385,1,15,2024-08-26,2.43,10,90,15,
1119454053502472638,Koselig og sentral leilighet,474673605,Mathilde Bugge,,Frogner,59.9217311,10.7167722,Entire home/apt,1955,3,4,2024-08-17,1.43,1,191,4,
1119510443312923574,Urban and modern apartment,22127166,Tommy,,Grünerløkka,59.93438769999999,10.7819067,Entire home/apt,,2,20,2024-08-21,3.41,6,0,20,
1119516787421934437,Quiet + cosy room + free parking,17889189,Madeleine,,Alna,59.94535355942563,10.893474564821663,Private room,,1,0,,,11,0,0,
1119542078911047359,Koselig leilighet i Gamle Oslo,165470289,Mari,,Gamle Oslo,59.90765,10.78072,Entire home/apt,1300,2,8,2024-09-01,1.71,1,241,8,
